Word,Style,Weight
hulking,literary,1.0
preaching,literary,0.3333333333333333
insect,literary,0.5
insulting,literary,0.5
wondered,literary,0.5
tolerance,literary,0.5
chagrin,literary,1.0
triplets,literary,1.0
wandering,literary,0.5
secured,literary,0.3333333333333333
ranged,literary,0.3333333333333333
bellowed,literary,1.0
obelisk,literary,1.0
stubble,literary,1.0
exquisitely,literary,1.0
unattractive,literary,0.5
distort,literary,0.3333333333333333
both,literary,0.3333333333333333
hazel,literary,1.0
siding,literary,0.3333333333333333
stiffening,literary,0.5
heaven,literary,1.0
organically,literary,0.5
unity,literary,0.3333333333333333
pretended,literary,1.0
reproach,literary,0.5
medicines,literary,1.0
magnum,literary,1.0
bouquet,literary,1.0
drag,literary,0.3333333333333333
mckenzie,literary,1.0
betrayal,literary,0.5
skulk,literary,1.0
ascending,literary,0.5
huddled,literary,1.0
wildness,literary,1.0
exclaimed,literary,0.5
laughs,literary,1.0
bloom,literary,0.3333333333333333
tanganika,literary,1.0
gunfire,literary,1.0
violently,literary,1.0
imperative,literary,0.3333333333333333
brenner,literary,1.0
advisedly,literary,1.0
apparency,literary,1.0
kare,literary,1.0
youngest,literary,0.5
howdy,literary,1.0
sex,literary,0.3333333333333333
handing,literary,0.3333333333333333
clothes,literary,0.3333333333333333
pop,literary,0.3333333333333333
dusty,literary,1.0
scolding,literary,0.5
tactful,literary,1.0
gritty,literary,1.0
americana,literary,0.5
grassfire,literary,1.0
commencing,literary,0.5
bobby,literary,0.5
scooped,literary,1.0
vos,literary,1.0
wised,literary,1.0
ram,literary,0.5
moll,literary,1.0
graver,literary,1.0
buttocks,literary,1.0
educated,literary,0.3333333333333333
terrace,literary,0.5
replanted,literary,1.0
grasped,literary,0.5
lentils,literary,1.0
heavenly,literary,1.0
comfort,literary,0.3333333333333333
window,literary,0.3333333333333333
ridges,literary,1.0
mooed,literary,1.0
worship,literary,0.3333333333333333
overcomes,literary,1.0
returning,literary,0.3333333333333333
buds,literary,1.0
perseveres,literary,1.0
christmastime,literary,1.0
tweedy,literary,1.0
moorish,literary,1.0
landmark,literary,0.5
faint,literary,0.3333333333333333
calamities,literary,1.0
splintered,literary,1.0
committeemen,literary,1.0
soaking,literary,0.5
gentility,literary,0.5
rebuilding,literary,0.5
towboats,literary,1.0
rubberized,literary,1.0
lawns,literary,0.5
clever,literary,0.3333333333333333
playful,literary,1.0
cranky,literary,1.0
uncoiling,literary,1.0
tiniest,literary,1.0
leggings,literary,1.0
portfolio,literary,0.5
striking,literary,0.3333333333333333
basking,literary,1.0
improvise,literary,0.5
interval,literary,0.3333333333333333
elder,literary,0.5
snail,literary,1.0
strangers,literary,1.0
dumped,literary,1.0
dammit,literary,1.0
bother,literary,0.5
brightest,literary,1.0
clerk,literary,0.3333333333333333
bind,literary,0.5
groaning,literary,1.0
dave,literary,0.5
pounded,literary,1.0
senseless,literary,0.5
persuade,literary,0.3333333333333333
gesture,literary,0.3333333333333333
dappled,literary,1.0
remorseful,literary,1.0
machinery,literary,0.3333333333333333
biwa,literary,1.0
enchained,literary,1.0
waterfront,literary,0.5
romans,literary,0.5
embellished,literary,1.0
aliah,literary,1.0
touched,literary,0.3333333333333333
pales,literary,1.0
murder,literary,0.3333333333333333
confinement,literary,1.0
unimaginable,literary,0.5
attentions,literary,1.0
inspected,literary,0.3333333333333333
linden,literary,0.5
omniscient,literary,1.0
usurped,literary,1.0
ethiopians,literary,1.0
cuddleback,literary,1.0
elephant,literary,0.5
defeated,literary,0.3333333333333333
tripod,literary,0.5
deathly,literary,1.0
pretence,literary,1.0
pilgrimage,literary,0.3333333333333333
files,literary,0.3333333333333333
fitting,literary,0.5
alcoholism,literary,1.0
hazy,literary,1.0
apologized,literary,1.0
heels,literary,0.5
warty,literary,1.0
grumble,literary,0.3333333333333333
nest,literary,0.5
garlic,literary,1.0
discolored,literary,1.0
dance,literary,0.5
yeah,literary,1.0
bestowed,literary,0.5
squad,literary,0.5
sprouting,literary,0.5
him,literary,0.3333333333333333
authors,literary,0.3333333333333333
duclos,literary,1.0
witches,literary,1.0
shirley,literary,0.5
tribute,literary,0.5
manservant,literary,1.0
rummaging,literary,1.0
itself,literary,0.3333333333333333
monument,literary,0.3333333333333333
pensive,literary,1.0
wetness,literary,1.0
magnet,literary,0.5
dependable,literary,0.5
pompeii,literary,1.0
flatter,literary,1.0
whitey,literary,0.5
freakish,literary,1.0
frowned,literary,1.0
saddle,literary,0.5
nassau,literary,0.5
bronze,literary,0.3333333333333333
unsloped,literary,1.0
poems,literary,0.5
negligent,literary,1.0
eagerly,literary,0.5
repaired,literary,0.5
chastity,literary,1.0
noblesse,literary,1.0
crown,literary,0.3333333333333333
tapered,literary,0.5
seaweed,literary,1.0
lacerate,literary,1.0
bull,literary,0.3333333333333333
trouble,literary,0.3333333333333333
notice,literary,0.3333333333333333
dented,literary,1.0
fetid,literary,1.0
crags,literary,1.0
nod,literary,0.5
coward,literary,0.5
pricked,literary,1.0
conclusion,literary,0.3333333333333333
brisker,literary,1.0
we,literary,0.3333333333333333
louder,literary,0.5
aide,literary,0.5
cosmetics,literary,0.5
respectfully,literary,1.0
bobbie,literary,1.0
traveler,literary,0.5
observe,literary,0.3333333333333333
wobble,literary,1.0
cavern,literary,1.0
heaped,literary,0.5
clogged,literary,1.0
intensified,literary,0.3333333333333333
politely,literary,0.5
grazing,literary,1.0
silenced,literary,0.5
tolek,literary,1.0
boss,literary,0.5
trigger,literary,0.5
outfit,literary,0.5
emotional,literary,0.3333333333333333
refugee,literary,1.0
because,literary,0.3333333333333333
verdi,literary,0.5
montgomery,literary,0.3333333333333333
scene,literary,0.3333333333333333
gilkson,literary,1.0
hangers,literary,1.0
rotten,literary,1.0
suggestion,literary,0.3333333333333333
planted,literary,0.5
resident,literary,0.3333333333333333
sunburn,literary,1.0
species,literary,0.3333333333333333
recreation,literary,1.0
plush,literary,1.0
brazenly,literary,1.0
buckra,literary,1.0
certificate,literary,0.3333333333333333
bubbly,literary,1.0
upright,literary,1.0
keys,literary,0.5
seeped,literary,1.0
civilian,literary,0.3333333333333333
stomach,literary,0.3333333333333333
nightmares,literary,1.0
pause,literary,0.3333333333333333
mares,literary,1.0
throttling,literary,1.0
classics,literary,0.5
grubby,literary,1.0
grandmother,literary,0.5
workmen,literary,0.5
degroot,literary,1.0
highschool,literary,1.0
delancy,literary,1.0
shorten,literary,0.5
malaria,literary,1.0
hasty,literary,0.3333333333333333
venom,literary,0.5
crawling,literary,0.5
undying,literary,1.0
suppose,literary,0.5
forest,literary,0.3333333333333333
surrounded,literary,0.3333333333333333
patronage,literary,0.5
bullet,literary,0.5
pacing,literary,1.0
cap,literary,0.5
brick,literary,0.3333333333333333
pile,literary,0.3333333333333333
foothills,literary,1.0
embankment,literary,0.5
voltaire,literary,1.0
mooncursers,literary,1.0
curtly,literary,1.0
unhappy,literary,0.3333333333333333
tranquility,literary,0.5
sky,literary,0.3333333333333333
mice,literary,0.5
slots,literary,0.3333333333333333
betrayed,literary,1.0
patronized,literary,1.0
strewn,literary,1.0
dignitaries,literary,0.5
lapels,literary,1.0
halos,literary,1.0
aggie,literary,1.0
caves,literary,1.0
spared,literary,1.0
ohio,literary,0.3333333333333333
hanging,literary,0.3333333333333333
semper,literary,1.0
prick,literary,1.0
tollhouse,literary,1.0
ladies,literary,0.5
mailed,literary,0.3333333333333333
being,literary,0.3333333333333333
hunt,literary,0.5
goodnight,literary,1.0
pullen,literary,0.5
akita,literary,1.0
succession,literary,0.3333333333333333
sympathizing,literary,1.0
stirring,literary,1.0
seller,literary,0.5
gnawed,literary,1.0
shoes,literary,0.3333333333333333
bounced,literary,0.5
komurasaki,literary,1.0
surge,literary,0.5
concussion,literary,1.0
were,literary,0.3333333333333333
carefully,literary,0.3333333333333333
yell,literary,1.0
bearded,literary,1.0
savage,literary,0.5
bizarre,literary,1.0
forty,literary,0.5
yours,literary,0.5
farnese,literary,1.0
dismounted,literary,0.5
madness,literary,1.0
bends,literary,1.0
philosophized,literary,1.0
cleaning,literary,0.3333333333333333
loathed,literary,1.0
shoestrings,literary,1.0
unyielding,literary,1.0
tryin,literary,1.0
noses,literary,0.5
triomphe,literary,1.0
reminiscence,literary,0.5
ungrateful,literary,1.0
sorrow,literary,1.0
competency,literary,0.5
bolt,literary,1.0
whisky,literary,1.0
scratchiness,literary,1.0
harem,literary,1.0
mont,literary,1.0
cliffs,literary,1.0
powdery,literary,1.0
betray,literary,1.0
clammy,literary,1.0
juicy,literary,1.0
nursing,literary,0.3333333333333333
other,literary,0.3333333333333333
shiver,literary,1.0
does,literary,0.3333333333333333
cavin,literary,1.0
infected,literary,0.5
stared,literary,0.5
medecine,literary,1.0
thinks,literary,0.3333333333333333
funny,literary,1.0
fiercely,literary,1.0
inches,literary,0.3333333333333333
inert,literary,0.5
curving,literary,0.5
underclothes,literary,1.0
resurgence,literary,1.0
fury,literary,0.5
dragging,literary,0.5
aloneness,literary,1.0
synagogue,literary,1.0
resigned,literary,0.5
jerky,literary,1.0
undulated,literary,1.0
bonfire,literary,1.0
flown,literary,0.5
printed,literary,0.3333333333333333
heal,literary,1.0
proves,literary,0.5
panther,literary,1.0
virus,literary,0.3333333333333333
messy,literary,0.5
bass,literary,0.5
morning,literary,0.3333333333333333
sealed,literary,0.5
unconcerned,literary,0.5
crossroading,literary,1.0
wished,literary,0.3333333333333333
hairy,literary,1.0
cradled,literary,1.0
peaceful,literary,0.5
dreamy,literary,1.0
odilo,literary,1.0
stooooomp,literary,1.0
bedraggled,literary,1.0
chinaman,literary,1.0
cumulus,literary,1.0
sight,literary,0.3333333333333333
pittsburgh,literary,0.3333333333333333
lively,literary,0.5
promising,literary,0.3333333333333333
fierce,literary,0.5
hero,literary,0.3333333333333333
kids,literary,0.5
inane,literary,1.0
cosily,literary,1.0
radicalism,literary,0.5
cough,literary,1.0
neck,literary,0.3333333333333333
savored,literary,0.5
emerald,literary,0.5
wildly,literary,0.5
why,literary,0.3333333333333333
libertines,literary,1.0
spasm,literary,0.5
settle,literary,0.3333333333333333
devices,literary,0.3333333333333333
plumbing,literary,1.0
dere,literary,1.0
improvised,literary,1.0
traps,literary,0.5
slopping,literary,1.0
bestubbled,literary,1.0
evenings,literary,0.3333333333333333
orly,literary,1.0
fishpond,literary,1.0
hectic,literary,1.0
sentence,literary,0.3333333333333333
summers,literary,0.3333333333333333
cornfield,literary,1.0
pantry,literary,0.5
believably,literary,1.0
lionized,literary,1.0
math,literary,0.3333333333333333
grief,literary,0.5
dang,literary,1.0
korean,literary,0.5
frankness,literary,0.5
slip,literary,0.3333333333333333
calmly,literary,1.0
candle,literary,0.5
immeasurable,literary,1.0
barnyard,literary,1.0
witty,literary,1.0
honest,literary,0.3333333333333333
lobscouse,literary,1.0
pawing,literary,1.0
laugh,literary,1.0
shores,literary,0.5
gay,literary,0.3333333333333333
plague,literary,0.5
krasnik,literary,1.0
survived,literary,0.3333333333333333
houdini,literary,1.0
inscrutable,literary,0.5
jingled,literary,1.0
shields,literary,1.0
depicted,literary,0.3333333333333333
riverside,literary,0.5
skates,literary,1.0
saluted,literary,0.5
jaunty,literary,1.0
summer,literary,0.3333333333333333
movies,literary,0.3333333333333333
ruin,literary,0.5
winked,literary,1.0
proclaiming,literary,1.0
blotted,literary,1.0
lyric,literary,1.0
monsieur,literary,1.0
suspense,literary,0.5
toonker,literary,1.0
absurdly,literary,1.0
holder,literary,0.3333333333333333
painful,literary,0.3333333333333333
bellini,literary,1.0
bodice,literary,0.5
likewise,literary,0.3333333333333333
boots,literary,1.0
richard,literary,0.3333333333333333
harvie,literary,1.0
gaudy,literary,0.5
theater,literary,0.5
burly,literary,1.0
ching,literary,1.0
wobbly,literary,1.0
unaware,literary,0.3333333333333333
quinzaine,literary,1.0
clicked,literary,0.5
scrumptious,literary,1.0
shave,literary,1.0
nobody,literary,0.5
researches,literary,0.5
ought,literary,0.3333333333333333
starlight,literary,1.0
yokosuka,literary,1.0
petit,literary,1.0
ticking,literary,1.0
centralization,literary,0.5
contours,literary,0.5
hedda,literary,1.0
starring,literary,0.5
plenitude,literary,1.0
hide,literary,0.5
kay,literary,0.3333333333333333
graphic,literary,0.5
canal,literary,0.3333333333333333
debris,literary,0.5
rammed,literary,1.0
sneezed,literary,1.0
ariadne,literary,0.5
apprentices,literary,0.5
feeding,literary,0.5
pils,literary,1.0
rebellion,literary,0.3333333333333333
slowed,literary,0.5
fussing,literary,1.0
intuition,literary,0.3333333333333333
outlines,literary,0.3333333333333333
annoys,literary,1.0
bade,literary,1.0
supercilious,literary,1.0
galli,literary,1.0
briefest,literary,1.0
heap,literary,0.5
sliding,literary,0.5
unsung,literary,1.0
foal,literary,1.0
sayin,literary,1.0
onlooker,literary,0.5
ceased,literary,0.3333333333333333
grabbed,literary,0.5
hoped,literary,0.3333333333333333
fourteen,literary,0.3333333333333333
hooves,literary,1.0
sap,literary,0.5
holding,literary,0.3333333333333333
admire,literary,0.5
contemplated,literary,0.5
caravan,literary,1.0
caved,literary,1.0
curious,literary,0.3333333333333333
filthy,literary,1.0
sitters,literary,1.0
brides,literary,1.0
churches,literary,0.5
damnation,literary,1.0
timbers,literary,1.0
wreck,literary,0.5
haughty,literary,1.0
ferocious,literary,1.0
westerly,literary,1.0
patting,literary,1.0
ignorance,literary,0.3333333333333333
splashed,literary,1.0
tug,literary,1.0
blossoms,literary,1.0
mutiny,literary,0.5
impressionist,literary,0.5
murmuring,literary,1.0
unshaved,literary,1.0
few,literary,0.3333333333333333
reproduce,literary,0.5
linger,literary,1.0
cursing,literary,0.5
sneakers,literary,1.0
futotsu,literary,1.0
varnessa,literary,1.0
postponement,literary,0.5
divorce,literary,0.3333333333333333
birdbath,literary,1.0
repetitive,literary,0.5
stormbound,literary,1.0
hewlitt,literary,1.0
rameau,literary,1.0
thinness,literary,1.0
gleam,literary,0.5
approximated,literary,0.3333333333333333
cypress,literary,1.0
gravity,literary,0.3333333333333333
stake,literary,0.3333333333333333
whipped,literary,0.5
praised,literary,0.3333333333333333
splinter,literary,1.0
incarnation,literary,1.0
anonymity,literary,0.3333333333333333
craig,literary,0.5
strike,literary,0.3333333333333333
piling,literary,0.5
turkey,literary,0.3333333333333333
while,literary,0.3333333333333333
simplify,literary,0.3333333333333333
lit,literary,1.0
anywhere,literary,0.3333333333333333
napping,literary,1.0
tomato,literary,1.0
eruption,literary,1.0
consistency,literary,0.3333333333333333
o,literary,0.3333333333333333
wishing,literary,0.5
lamb,literary,0.3333333333333333
filippo,literary,0.5
journals,literary,0.3333333333333333
blundered,literary,0.5
parboiled,literary,1.0
ugly,literary,0.5
loft,literary,1.0
unfavorable,literary,1.0
azaleas,literary,1.0
pensioner,literary,1.0
ernest,literary,0.5
groomed,literary,1.0
conceived,literary,0.3333333333333333
travelled,literary,1.0
lips,literary,1.0
nostrils,literary,1.0
radiance,literary,1.0
implicit,literary,0.3333333333333333
pollock,literary,0.5
dawn,literary,0.3333333333333333
stemmed,literary,0.5
pliant,literary,1.0
herding,literary,1.0
gaiety,literary,1.0
swirled,literary,1.0
glistened,literary,1.0
stars,literary,0.3333333333333333
sussex,literary,0.5
threadbare,literary,0.5
disfigured,literary,0.5
envisioned,literary,0.3333333333333333
conversations,literary,0.3333333333333333
bits,literary,0.3333333333333333
punish,literary,1.0
necessities,literary,0.5
texts,literary,0.3333333333333333
land,literary,0.3333333333333333
monuments,literary,0.3333333333333333
literary,literary,0.3333333333333333
colt,literary,1.0
husky,literary,0.5
hanford,literary,1.0
craven,literary,0.5
disapproved,literary,1.0
unpicturesque,literary,1.0
grape,literary,0.5
cuttings,literary,1.0
procreative,literary,1.0
appreciation,literary,0.3333333333333333
pounding,literary,1.0
temptation,literary,1.0
burial,literary,1.0
pocketful,literary,1.0
heavier,literary,0.3333333333333333
remoteness,literary,1.0
sushi,literary,1.0
dislike,literary,0.3333333333333333
manassas,literary,1.0
flapped,literary,1.0
realest,literary,1.0
glanced,literary,0.5
rosebuds,literary,1.0
johnnie,literary,0.5
partner,literary,0.3333333333333333
until,literary,0.3333333333333333
crickets,literary,1.0
birds,literary,0.3333333333333333
accompany,literary,0.3333333333333333
dumb,literary,0.3333333333333333
perturbation,literary,1.0
subsist,literary,1.0
smile,literary,0.3333333333333333
companionship,literary,0.5
sprang,literary,0.5
irv,literary,1.0
warmed,literary,0.3333333333333333
rows,literary,0.3333333333333333
refusing,literary,1.0
boring,literary,0.5
constricted,literary,1.0
surging,literary,1.0
instructions,literary,0.3333333333333333
eats,literary,0.5
braced,literary,0.5
trolls,literary,1.0
triangle,literary,0.5
cheerful,literary,1.0
labans,literary,1.0
ticked,literary,1.0
messhall,literary,1.0
plugugly,literary,1.0
ajar,literary,1.0
thelma,literary,1.0
confidentially,literary,0.5
curiously,literary,0.5
digestible,literary,1.0
merited,literary,0.5
appliances,literary,0.3333333333333333
dainty,literary,1.0
hostelries,literary,1.0
accordance,literary,0.3333333333333333
apprehension,literary,1.0
pimp,literary,1.0
variegated,literary,1.0
wrack,literary,1.0
sculpture,literary,0.3333333333333333
lancret,literary,1.0
heaving,literary,0.5
root,literary,0.3333333333333333
enemy,literary,0.3333333333333333
gravy,literary,0.5
throes,literary,1.0
weaken,literary,0.5
studio,literary,0.5
boaters,literary,1.0
motives,literary,0.5
parkersburg,literary,1.0
expedition,literary,1.0
clerical,literary,0.3333333333333333
andrus,literary,1.0
throbbed,literary,1.0
fate,literary,0.3333333333333333
exuberant,literary,1.0
sheds,literary,0.5
rifles,literary,0.5
estherson,literary,1.0
beadle,literary,0.5
necktie,literary,1.0
incessantly,literary,1.0
obscure,literary,0.3333333333333333
nigras,literary,1.0
aloof,literary,1.0
hocking,literary,1.0
sunken,literary,1.0
retreated,literary,0.5
lemons,literary,1.0
upset,literary,0.3333333333333333
dimaggio,literary,0.5
thickest,literary,1.0
lettering,literary,0.5
thickened,literary,0.5
darkening,literary,1.0
bosch,literary,1.0
unconscious,literary,0.5
russe,literary,1.0
plains,literary,0.3333333333333333
barges,literary,1.0
fanaticism,literary,0.5
coachwork,literary,1.0
inquisitor,literary,1.0
puckered,literary,1.0
concord,literary,1.0
tireless,literary,1.0
slyly,literary,1.0
nights,literary,0.3333333333333333
veined,literary,1.0
jabbed,literary,1.0
tied,literary,0.3333333333333333
graves,literary,0.5
raucous,literary,1.0
mammas,literary,1.0
incredulity,literary,1.0
chandelier,literary,1.0
adult,literary,0.3333333333333333
animosity,literary,1.0
warsaw,literary,1.0
unwelcome,literary,0.5
tales,literary,0.5
hairpin,literary,1.0
mention,literary,0.3333333333333333
twigged,literary,1.0
dodington,literary,1.0
pyramid,literary,0.5
propositioned,literary,1.0
meadows,literary,1.0
feasting,literary,1.0
desolate,literary,1.0
brief,literary,0.3333333333333333
split,literary,0.3333333333333333
ached,literary,1.0
remarked,literary,0.5
myself,literary,0.3333333333333333
trusted,literary,0.3333333333333333
rooster,literary,1.0
calculators,literary,0.5
simulate,literary,0.3333333333333333
knees,literary,0.3333333333333333
to,literary,0.3333333333333333
perceptible,literary,0.5
mustache,literary,1.0
exploits,literary,0.3333333333333333
jockey,literary,0.5
longue,literary,1.0
guests,literary,0.3333333333333333
plastically,literary,0.5
convivial,literary,1.0
nuts,literary,1.0
stimulating,literary,0.3333333333333333
divorcee,literary,1.0
attain,literary,0.3333333333333333
bored,literary,0.5
nightdress,literary,1.0
frail,literary,0.5
serenaded,literary,1.0
buffeted,literary,1.0
dazed,literary,1.0
gentleman,literary,0.5
redcoat,literary,1.0
bridegroom,literary,0.5
metallic,literary,0.3333333333333333
fiddles,literary,1.0
monstrous,literary,0.3333333333333333
curses,literary,1.0
footsteps,literary,1.0
greedy,literary,1.0
spat,literary,1.0
beatings,literary,1.0
boucher,literary,0.5
quit,literary,0.3333333333333333
technician,literary,0.5
intensifying,literary,0.5
jessie,literary,1.0
enclosed,literary,0.5
analyze,literary,0.3333333333333333
dense,literary,0.3333333333333333
asks,literary,0.3333333333333333
savagery,literary,1.0
positively,literary,0.3333333333333333
subside,literary,1.0
outrun,literary,0.5
stones,literary,0.5
physicians,literary,0.3333333333333333
judea,literary,1.0
tub,literary,0.5
specialty,literary,0.3333333333333333
pasty,literary,1.0
illustrators,literary,1.0
bacchus,literary,1.0
indication,literary,0.3333333333333333
drink,literary,0.3333333333333333
closeted,literary,1.0
straggling,literary,1.0
rangers,literary,0.5
britches,literary,1.0
grate,literary,1.0
dragooned,literary,1.0
lyrics,literary,1.0
cracked,literary,0.5
sistine,literary,1.0
cathedrals,literary,1.0
shouted,literary,0.5
sweaty,literary,1.0
brigadier,literary,1.0
shipmate,literary,1.0
resignation,literary,0.5
blessing,literary,1.0
destiny,literary,0.5
shoved,literary,1.0
covertly,literary,1.0
tonics,literary,1.0
whispering,literary,1.0
chins,literary,1.0
nineteen,literary,0.3333333333333333
weighed,literary,0.5
grayed,literary,1.0
gleefully,literary,1.0
highboard,literary,1.0
suffocating,literary,1.0
safer,literary,1.0
emulate,literary,0.5
arrow,literary,0.3333333333333333
artillery,literary,0.3333333333333333
bleary,literary,1.0
reprobate,literary,1.0
piss,literary,1.0
rushed,literary,0.3333333333333333
withered,literary,0.5
destruction,literary,0.3333333333333333
explode,literary,1.0
possessive,literary,0.3333333333333333
brushlike,literary,1.0
describe,literary,0.3333333333333333
trailing,literary,0.5
morose,literary,1.0
resumed,literary,0.3333333333333333
damp,literary,0.5
joan,literary,0.3333333333333333
reigning,literary,0.5
robbie,literary,1.0
pete,literary,0.5
beaches,literary,1.0
twotiming,literary,1.0
discharged,literary,0.3333333333333333
fearfully,literary,1.0
conformists,literary,1.0
subdued,literary,0.3333333333333333
rebellious,literary,1.0
vanity,literary,0.5
ken,literary,0.3333333333333333
cortlandt,literary,1.0
driveway,literary,0.5
estate,literary,0.3333333333333333
obliged,literary,0.3333333333333333
crested,literary,1.0
orphanage,literary,1.0
coats,literary,0.5
unmasked,literary,1.0
shove,literary,1.0
scholarship,literary,0.3333333333333333
these,literary,0.3333333333333333
capricorn,literary,1.0
rummel,literary,1.0
comforting,literary,0.3333333333333333
settlers,literary,1.0
sonofabitch,literary,1.0
diego,literary,1.0
shrank,literary,1.0
lovie,literary,1.0
leapt,literary,1.0
jutting,literary,1.0
wagon,literary,1.0
kissings,literary,1.0
deliciously,literary,1.0
their,literary,0.3333333333333333
dread,literary,0.5
blow,literary,0.3333333333333333
cheated,literary,1.0
discreetly,literary,1.0
hurrays,literary,1.0
boardinghouses,literary,1.0
graduated,literary,0.5
rome,literary,0.3333333333333333
countenance,literary,0.5
attentively,literary,1.0
mum,literary,1.0
surveyed,literary,0.3333333333333333
selma,literary,1.0
interlude,literary,0.3333333333333333
adele,literary,1.0
loafed,literary,1.0
sore,literary,0.5
foolishly,literary,1.0
curb,literary,0.5
geese,literary,1.0
tons,literary,0.3333333333333333
cancer,literary,0.3333333333333333
stray,literary,1.0
methodically,literary,0.5
richmond,literary,0.3333333333333333
calloused,literary,1.0
surprised,literary,0.3333333333333333
heated,literary,0.3333333333333333
breakfasted,literary,1.0
succeed,literary,0.3333333333333333
senator,literary,0.3333333333333333
quitting,literary,1.0
mortgage,literary,0.3333333333333333
peony,literary,1.0
extracted,literary,0.3333333333333333
velvet,literary,1.0
sundown,literary,0.5
mill,literary,0.3333333333333333
nothings,literary,1.0
occupied,literary,0.3333333333333333
lighting,literary,0.5
